URL;Name;Land;Traeger;Promotionsrecht;Gruendung;Studierende;AS;WikiUrl;Stand
http://www.hu-berlin.de/;Humboldt-Universität zu Berlin (HUB);BE;staatlich;ja;1810;33540;AS680;/wiki/Humboldt-Universit%C3%A4t_zu_Berlin;2014/15 (WS)
http://www.ib-hochschule.de/;IB-Hochschule Berlin (IBHB);BE;privat;nein;2007;518;AS20677;/wiki/IB-Hochschule_Berlin;2012/13 (WS)
http://www.ipu-berlin.de/;International Psychoanalytic University Berlin (IPUB);BE;privat;nein;2009;395;AS20773;/wiki/International_Psychoanalytic_University_Berlin;2012/13 (WS)
http://www.khsb-berlin.de/;Katholische Hochschule für Sozialwesen Berlin (KHSW);BE;konfessionell;nein;1991;1416;AS43503;/wiki/Katholische_Hochschule_f%C3%BCr_Sozialwesen_Berlin;2012/13 (WS)
http://www.kh-berlin.de/;Kunsthochschule Berlin-Weißensee (KHB);BE;staatlich;nein;1946;802;AS20773;/wiki/Kunsthochschule_Berlin-Wei%C3%9Fensee;2012/13 (WS)
http://www.mediadesign.de/;Mediadesign Hochschule (MDHB);BE;privat;nein;2004;1279;AS48918;/wiki/Mediadesign_Hochschule;2012/13 (WS)
http://www.psychologische-hochschule.de/;Psychologische Hochschule Berlin (PHSB);BE;privat;nein;2010;53;AS8560;/wiki/Psychologische_Hochschule_Berlin;2012/13 (WS)
http://www.srh-hochschule-berlin.de/;SRH Hochschule Berlin (SRHB);BE;privat;nein;2002;518;AS8075;/wiki/SRH_Hochschule_Berlin;2012/13 (WS)
http://www.steinbeis-hochschule.de/;Steinbeis-Hochschule Berlin (SBHB);BE;privat;ja;1998;5663;AS48918;/wiki/Steinbeis-Hochschule_Berlin;2012/13 (WS)
http://www.tu-berlin.de/;Technische Universität Berlin (TUB);BE;staatlich;ja;1770;32508;AS680;/wiki/Technische_Universit%C3%A4t_Berlin;2016 (SS)
http://www.touroberlin.com/;Touro College Berlin;BE;privat;nein;2003;122;AS20773;/wiki/Touro_College_Berlin;2012/13 (WS)
http://www.udk-berlin.de/;Universität der Künste Berlin;BE;staatlich;ja;1696;3447;AS680;/wiki/Universit%C3%A4t_der_K%C3%BCnste_Berlin;2012/13 (WS)
http://www.quadriga-hochschule.com/;Quadriga Hochschule Berlin;BE;privat;nein;2009;75;AS24940;/wiki/Quadriga_Hochschule_Berlin;2012/13 (WS)
http://www.hs-anhalt.de/;Hochschule Anhalt;ST;staatlich;nein;1991;4761;AS680;/wiki/Hochschule_Anhalt;2012/13 (WS)
http://www.hochschule-biberach.de/;Hochschule Biberach;BW;staatlich;nein;1964;2370;AS553;/wiki/Hochschule_Biberach;2012/13 (WS)
http://www.fh-bielefeld.de/;Fachhochschule Bielefeld;NW;staatlich;nein;1971;8633;AS680;/wiki/Fachhochschule_Bielefeld;2012/13 (WS)
http://fh-diakonie.de/;Fachhochschule der Diakonie;NW;konfessionell;nein;2006;559;AS24940;/wiki/Fachhochschule_der_Diakonie;2012/13 (WS)
http://www.fh-mittelstand.de/;Fachhochschule des Mittelstands;NW;privat;nein;2000;1584;AS20773;/wiki/Fachhochschule_des_Mittelstands;2012/13 (WS)
http://www.uni-bielefeld.de/;Universität Bielefeld;NW;staatlich;ja;1969;24428;AS680;/wiki/Universit%C3%A4t_Bielefeld;2014/15 (WS)
http://www.th-bingen.de/;Technische Hochschule Bingen;RP;staatlich;nein;1897;2596;AS2857;/wiki/Technische_Hochschule_Bingen;2012/13 (WS)
http://www.ebz-business-school.de/;EBZ Business School;NW;privat;nein;2008;569;AS24940;/wiki/EBZ_Business_School;2012/13 (WS)
http://www.evh-bochum.de/;Evangelische Fachhochschule Rheinland-Westfalen-Lippe;NW;konfessionell;nein;1971;2;AS29484;/wiki/Evangelische_Fachhochschule_Rheinland-Westfalen-Lippe;2012/13 (WS)
http://www.hochschule-bochum.de/;Hochschule Bochum;NW;staatlich;nein;1972;6047;AS680;/wiki/Hochschule_Bochum;2012/13 (WS)
http://www.hs-gesundheit.de/;Hochschule für Gesundheit;NW;staatlich;nein;2009;491;AS20773;/wiki/Hochschule_f%C3%BCr_Gesundheit;2012/13 (WS)
http://www.ruhr-uni-bochum.de/;Ruhr-Universität Bochum;NW;staatlich;ja;1962;42463;AS29484;/wiki/Ruhr-Universit%C3%A4t_Bochum;2016/17 (WS)
http://www.thga.de/;Technische Hochschule Georg Agricola;NW;privat;nein;1816;2178;AS680;/wiki/Technische_Hochschule_Georg_Agricola;2012/13 (WS)
http://www.s-hochschule.de/;Hochschule der Sparkassen-Finanzgruppe;NW;privat;nein;2003;919;AS15817;/wiki/Hochschule_der_Sparkassen-Finanzgruppe;2012/13 (WS)
http://www.uni-bonn.de/;Rheinische Friedrich-Wilhelms-Universität Bonn;NW;staatlich;ja;1818;36432;AS680;/wiki/Rheinische_Friedrich-Wilhelms-Universit%C3%A4t_Bonn;2014/15 (WS)
http://www.h-brs.de/;Hochschule Bonn-Rhein-Sieg;NW;staatlich;nein;1995;8;AS24940;/wiki/Hochschule_Bonn-Rhein-Sieg;2015/16 (WS)
http://www.th-brandenburg.de/;Technische Hochschule Brandenburg;BB;staatlich;nein;1992;2920;AS680;/wiki/Technische_Hochschule_Brandenburg;2012/13 (WS)
http://www.mhb-fontane.de/;Medizinische Hochschule Brandenburg Theodor Fontane;BB;privat;ja;2014;82;AS21059;/wiki/Medizinische_Hochschule_Brandenburg_Theodor_Fontane;2015/16 (WS)
http://www.hbk-bs.de/;Hochschule für Bildende Künste Braunschweig;NI;staatlich;ja;1963;1065;AS680;/wiki/Hochschule_f%C3%BCr_Bildende_K%C3%BCnste_Braunschweig;2012/13 (WS)
http://tu-braunschweig.de/;Technische Universität Braunschweig;NI;staatlich;ja;1745;17129;AS680;/wiki/Technische_Universit%C3%A4t_Braunschweig;2013/14 (WS)
http://www.hs-bremen.de/;Hochschule Bremen;HB;staatlich;nein;1982;8917;AS680;/wiki/Hochschule_Bremen;2012/13 (WS)
http://www.apollon-hochschule.de/;Apollon Hochschule der Gesundheitswirtschaft;HB;privat;nein;2005;1242;AS31400;/wiki/Apollon_Hochschule_der_Gesundheitswirtschaft;2012/13 (WS)
http://www.iubh-dualesstudium.de/;Hochschule für internationale Wirtschaft und Logistik;HB;privat;nein;2009;68;AS20773;/wiki/Hochschule_f%C3%BCr_internationale_Wirtschaft_und_Logistik;2012/13 (WS)
http://www.hfk-bremen.de/;Hochschule für Künste Bremen;HB;staatlich;nein;1873;903;AS680;/wiki/Hochschule_f%C3%BCr_K%C3%BCnste_Bremen;2012/13 (WS)
http://www.hfoev.bremen.de/;Hochschule für Öffentliche Verwaltung Bremen;HB;staatlich;nein;1979;375;AS680;/wiki/Hochschule_f%C3%BCr_%C3%96ffentliche_Verwaltung_Bremen;2012/13 (WS)
http://www.jacobs-university.de/;Jacobs University Bremen;HB;privat;ja;1999;1312;AS24940;/wiki/Jacobs_University_Bremen;2012/13 (WS)
http://www.uni-bremen.de/;Universität Bremen;HB;staatlich;ja;1971;19234;AS680;/wiki/Universit%C3%A4t_Bremen;2013/14 (WS)
http://www.hs-bremerhaven.de/;Hochschule Bremerhaven;HB;staatlich;nein;1975;3093;AS680;/wiki/Hochschule_Bremerhaven;2012/13 (WS)
http://www.eufh.de/;Europäische Fachhochschule;NW;privat;nein;2001;1599;AS21059;/wiki/Europ%C3%A4ische_Fachhochschule;2012/13 (WS)
