URL; name; popularity; active; origin; first release; first release date; release count; last release date; last release; distrowatch url
http://www.extix.se/; extix; 82 (142 hits per day); Active; Sweden;6.0; 2008-09-01;12;2017-11-23;18.0;http://distrowatch.com/extix
http://www.freebsd.org/; freebsd; 26 (351 hits per day); Active; USA;2.2.8; 1998-11-29;12;2018-01-22;12-CURRENT;http://distrowatch.com/freebsd
http://www.freenas.org/; freenas; 112 (93 hits per day); Active; France;0.686.4; 2008-05-23;6;2017-12-13;11.1;http://distrowatch.com/freenas
http://www.freepbx.org/; freepbx; 288 (23 hits per day); Active; USA;10.13.66; 2017-02-18;2;2017-08-02;14.0.1.1;http://distrowatch.com/freepbx
http://www.funtoo.org/; funtoo; 165 (49 hits per day); Active; USA;current; 2017-10-07;1;2017-10-07;current;http://distrowatch.com/funtoo
http://www.gentoo.org/; gentoo; 41 (247 hits per day); Active; USA;1.0; 2002-03-31;24;2018-01-22;unstable;http://distrowatch.com/gentoo
http://www.ghostbsd.org/; ghostbsd; 52 (215 hits per day); Active; Canada;1.0; 2010-03-09;10;2017-11-16;11.1;http://distrowatch.com/ghostbsd
http://www.gnewsense.org/; gnewsense; 217 (35 hits per day); Active; Ireland;1.0; 2006-11-02;8;2016-05-06;4.0;http://distrowatch.com/gnewsense
http://www.gnu.org/software/guix/; guixsd; 228 (33 hits per day); Active; USA;0.9.0; 2015-11-04;3;2017-05-22;0.13.0;http://distrowatch.com/guixsd
http://www.gobolinux.org/; gobo; 220 (34 hits per day); Active; Brazil;005; 2002-10-11;10;2017-04-04;016.01;http://distrowatch.com/gobo
http://www.grml.org/; grml; 280 (24 hits per day); Active; Austria;0.1; 2004-10-22;23;2017-05-31;2017.05;http://distrowatch.com/grml
http://www.ibiblio.org/refracta/; refracta; 199 (39 hits per day); Active; USA;8.3-20170305; 2017-03-05;1;2017-03-05;8.3-20170305;http://distrowatch.com/refracta
http://www.ipfire.org/; ipfire; 117 (86 hits per day); Active; Germany;2.9-core52; 2011-09-17;5;2018-01-04;2.19-core117;http://distrowatch.com/ipfire
http://www.kali.org/; kali; 15 (546 hits per day); Active; Switzerland;081004; 2004-08-10;12;2017-11-21;2017.3;http://distrowatch.com/kali
